id_location,fk_parent_location,name,description,count
57561,13,0102A01,MZ1-0102A01,43
3404,13,0103A01,MZ1-0103A01,52
3405,13,0103A02,MZ1-0103A02,31
3406,13,0103A03,MZ1-0103A03,24
3407,13,0103D01,MZ1-0103D01,1
3409,13,0103D03,MZ1-0103D03,2
3410,13,0103D04,MZ1-0103D04,1
3411,13,0103D05,MZ1-0103D05,4
3413,13,0104A01,MZ1-0104A01,33
3414,13,0104A02,MZ1-0104A02,21
3415,13,0104A03,MZ1-0104A03,32
3421,13,0104D06,MZ1-0104D06,1
3422,13,0105A01,MZ1-0105A01,17
3423,13,0105A02,MZ1-0105A02,17
3424,13,0105A03,MZ1-0105A03,27
3426,13,0105D02,MZ1-0105D02,1
3427,13,0105D03,MZ1-0105D03,1
3428,13,0105D04,MZ1-0105D04,3
3431,13,0107A01,MZ1-0107A01,17
3432,13,0107A02,MZ1-0107A02,24
3433,13,0107A03,MZ1-0107A03,25
3435,13,0107D02,MZ1-0107D02,1
3436,13,0107D03,MZ1-0107D03,1
3437,13,0107D04,MZ1-0107D04,3
3438,13,0107D05,MZ1-0107D05,1
3439,13,0107D06,MZ1-0107D06,1
3440,13,0109A01,MZ1-0109A01,60
3441,13,0109A02,MZ1-0109A02,17
3442,13,0109A03,MZ1-0109A03,17
3446,13,0109D04,MZ1-0109D04,4
3449,13,0110A01,MZ1-0110A01,12
3451,13,0110D02,MZ1-0110D02,1
3452,13,0111A01,MZ1-0111A01,17
3453,13,0111A02,MZ1-0111A02,41
3454,13,0111A03,MZ1-0111A03,19
3457,13,0111D03,MZ1-0111D03,3
3458,13,0111D04,MZ1-0111D04,4
3459,13,0111D05,MZ1-0111D05,1
3461,13,0112A01,MZ1-0112A01,15
3462,13,0112A02,MZ1-0112A02,32
3466,13,0112D04,MZ1-0112D04,2
3467,13,0113A01,MZ1-0113A01,17
3468,13,0113A02,MZ1-0113A02,26
3469,13,0113A03,MZ1-0113A03,33
3472,13,0113D03,MZ1-0113D03,3
3473,13,0113D04,MZ1-0113D04,1
3476,13,0114A01,MZ1-0114A01,15
3477,13,0114A02,MZ1-0114A02,17
3478,13,0114A03,MZ1-0114A03,31
3480,13,0114D02,MZ1-0114D02,3
3481,13,0114D03,MZ1-0114D03,7
3482,13,0114D04,MZ1-0114D04,4
3483,13,0114D05,MZ1-0114D05,4
3484,13,0114D06,MZ1-0114D06,4
3485,13,0115A01,MZ1-0115A01,13
3486,13,0115A02,MZ1-0115A02,15
3487,13,0115A03,MZ1-0115A03,24
3489,13,0115D02,MZ1-0115D02,1
3491,13,0115D04,MZ1-0115D04,1
3492,13,0115D05,MZ1-0115D05,4
3493,13,0115D06,MZ1-0115D06,4
3494,13,0116A01,MZ1-0116A01,23
3495,13,0116A02,MZ1-0116A02,23
3497,13,0116D02,MZ1-0116D02,1
3498,13,0116D03,MZ1-0116D03,2
3500,13,0117A01,MZ1-0117A01,30
3501,13,0117A02,MZ1-0117A02,23
3502,13,0117A03,MZ1-0117A03,21
3503,13,0117D01,MZ1-0117D01,10
3504,13,0117D02,MZ1-0117D02,3
3505,13,0117D03,MZ1-0117D03,7
3506,13,0117D04,MZ1-0117D04,1
3507,13,0117D05,MZ1-0117D05,1
3508,13,0117D06,MZ1-0117D06,2
3509,13,0118A01,MZ1-0118A01,15
3510,13,0118A02,MZ1-0118A02,16
3511,13,0118A03,MZ1-0118A03,16
3512,13,0118D01,MZ1-0118D01,2
3513,13,0118D02,MZ1-0118D02,3
3514,13,0118D03,MZ1-0118D03,1
3515,13,0118D04,MZ1-0118D04,5
3516,13,0118D05,MZ1-0118D05,4
3517,13,0118D06,MZ1-0118D06,6
3518,13,0119A01,MZ1-0119A01,33
3519,13,0119A02,MZ1-0119A02,12
3520,13,0119A03,MZ1-0119A03,52
3521,13,0119D01,MZ1-0119D01,2
3522,13,0119D02,MZ1-0119D02,6
3523,13,0119D03,MZ1-0119D03,1
3524,13,0119D04,MZ1-0119D04,11
3525,13,0119D05,MZ1-0119D05,1
3526,13,0119D06,MZ1-0119D06,1
3527,13,0120A01,MZ1-0120A01,10
3528,13,0120A02,MZ1-0120A02,30
3529,13,0120D01,MZ1-0120D01,1
3530,13,0120D02,MZ1-0120D02,1
3531,13,0120D03,MZ1-0120D03,3
3532,13,0120D04,MZ1-0120D04,1
57565,13,0122A01,MZ1-0122A01,38
3533,13,0123A01,MZ1-0123A01,43
3534,13,0123A02,MZ1-0123A02,27
3535,13,0123A03,MZ1-0123A03,24
3536,13,0123D01,MZ1-0123D01,1
3537,13,0123D02,MZ1-0123D02,1
3539,13,0123D04,MZ1-0123D04,2
3540,13,0123D05,MZ1-0123D05,2
3541,13,0123D06,MZ1-0123D06,4
3542,13,0124A01,MZ1-0124A01,22
3543,13,0124A02,MZ1-0124A02,14
3544,13,0124D01,MZ1-0124D01,3
3545,13,0124D02,MZ1-0124D02,2
3546,13,0124D03,MZ1-0124D03,1
3548,13,0125A01,MZ1-0125A01,109
3549,13,0125A02,MZ1-0125A02,23
3550,13,0125A03,MZ1-0125A03,29
3556,13,0125D06,MZ1-0125D06,1
3557,13,0126A01,MZ1-0126A01,6
3558,13,0126A02,MZ1-0126A02,14
3559,13,0126A03,MZ1-0126A03,12
3560,13,0126D01,MZ1-0126D01,2
3564,13,0126D05,MZ1-0126D05,4
3566,13,0127A01,MZ1-0127A01,17
3567,13,0127A02,MZ1-0127A02,17
3568,13,0127A03,MZ1-0127A03,17
3571,13,0127D03,MZ1-0127D03,3
3572,13,0127D04,MZ1-0127D04,4
3574,13,0127D06,MZ1-0127D06,1
3575,13,0128A01,MZ1-0128A01,12
3576,13,0128A02,MZ1-0128A02,19
3577,13,0128D01,MZ1-0128D01,4
3578,13,0128D02,MZ1-0128D02,1
3579,13,0128D03,MZ1-0128D03,1
3580,13,0128D04,MZ1-0128D04,1
3581,13,0129A01,MZ1-0129A01,18
3582,13,0129A02,MZ1-0129A02,26
3583,13,0129A03,MZ1-0129A03,24
3588,13,0129D05,MZ1-0129D05,1
3590,13,0130A01,MZ1-0130A01,15
3591,13,0130A02,MZ1-0130A02,16
3592,13,0130A03,MZ1-0130A03,17
3594,13,0130D02,MZ1-0130D02,3
3596,13,0130D04,MZ1-0130D04,3
3597,13,0130D05,MZ1-0130D05,1
3599,13,0131A01,MZ1-0131A01,64
3600,13,0131A02,MZ1-0131A02,11
3601,13,0131A03,MZ1-0131A03,12
3603,13,0131D02,MZ1-0131D02,2
3604,13,0131D03,MZ1-0131D03,2
3606,13,0131D05,MZ1-0131D05,1
3608,13,0132A02,MZ1-0132A02,11
3613,13,0133A01,MZ1-0133A01,26
3614,13,0133A02,MZ1-0133A02,17
3615,13,0133A03,MZ1-0133A03,7
3618,13,0133D03,MZ1-0133D03,6
3622,13,0135A01,MZ1-0135A01,46
3626,13,0203D01,MZ1-0203D01,1
3627,13,0203D02,MZ1-0203D02,13
3628,13,0203D03,MZ1-0203D03,11
3629,13,0203D04,MZ1-0203D04,7
3630,13,0203D05,MZ1-0203D05,4
3631,13,0203D06,MZ1-0203D06,1
3632,13,0204D01,MZ1-0204D01,7
3633,13,0204D02,MZ1-0204D02,14
3634,13,0204D03,MZ1-0204D03,12
3635,13,0204D04,MZ1-0204D04,12
3636,13,0204D05,MZ1-0204D05,2
3637,13,0204D06,MZ1-0204D06,2
3638,13,0205D01,MZ1-0205D01,3
3640,13,0205D03,MZ1-0205D03,2
3641,13,0205D04,MZ1-0205D04,24
3642,13,0205D05,MZ1-0205D05,14
3643,13,0205D06,MZ1-0205D06,15
3644,13,0206D01,MZ1-0206D01,1
3645,13,0206D02,MZ1-0206D02,9
3646,13,0206D03,MZ1-0206D03,15
3647,13,0206D04,MZ1-0206D04,3
3648,13,0206D05,MZ1-0206D05,29
3650,13,0207D01,MZ1-0207D01,40
3651,13,0207D02,MZ1-0207D02,4
3652,13,0207D03,MZ1-0207D03,13
3653,13,0207D04,MZ1-0207D04,16
3654,13,0207D05,MZ1-0207D05,4
3655,13,0207D06,MZ1-0207D06,29
3656,13,0208D01,MZ1-0208D01,41
3657,13,0208D02,MZ1-0208D02,40
3658,13,0208D03,MZ1-0208D03,2
3659,13,0208D04,MZ1-0208D04,2
3660,13,0208D05,MZ1-0208D05,14
3661,13,0208D06,MZ1-0208D06,35
3662,13,0209D01,MZ1-0209D01,26
3663,13,0209D02,MZ1-0209D02,3
3664,13,0209D03,MZ1-0209D03,16
3665,13,0209D04,MZ1-0209D04,12
3666,13,0209D05,MZ1-0209D05,35
3667,13,0209D06,MZ1-0209D06,7
3668,13,0210D01,MZ1-0210D01,40
3669,13,0210D02,MZ1-0210D02,40
3670,13,0210D03,MZ1-0210D03,40
3671,13,0210D04,MZ1-0210D04,40
3672,13,0210D05,MZ1-0210D05,25
3673,13,0210D06,MZ1-0210D06,32
3674,13,0211D01,MZ1-0211D01,30
3675,13,0211D02,MZ1-0211D02,39
3676,13,0211D03,MZ1-0211D03,40
3677,13,0211D04,MZ1-0211D04,39
3678,13,0211D05,MZ1-0211D05,38
3679,13,0211D06,MZ1-0211D06,6
3680,13,0212D01,MZ1-0212D01,11
3681,13,0212D02,MZ1-0212D02,8
3682,13,0212D03,MZ1-0212D03,8
3683,13,0212D04,MZ1-0212D04,44
3684,13,0212D05,MZ1-0212D05,5
3685,13,0212D06,MZ1-0212D06,6
3686,13,0213D01,MZ1-0213D01,35
3687,13,0213D02,MZ1-0213D02,36
3688,13,0213D03,MZ1-0213D03,40
3689,13,0213D04,MZ1-0213D04,40
3690,13,0213D05,MZ1-0213D05,3
3696,13,0214D05,MZ1-0214D05,2
3697,13,0214D06,MZ1-0214D06,3
3700,13,0215D03,MZ1-0215D03,8
3701,13,0215D04,MZ1-0215D04,3
3702,13,0215D05,MZ1-0215D05,27
3703,13,0215D06,MZ1-0215D06,4
3704,13,0216D01,MZ1-0216D01,6
3705,13,0216D02,MZ1-0216D02,2
3706,13,0216D03,MZ1-0216D03,4
3707,13,0216D04,MZ1-0216D04,3
3709,13,0216D06,MZ1-0216D06,10
3710,13,0217D01,MZ1-0217D01,1
3711,13,0217D02,MZ1-0217D02,12
3712,13,0217D03,MZ1-0217D03,18
